order_date,ORDER_DAY_MONTH,ORDER_MONTH,ORDER_YEAR,ORDER_QUARTER
2017-05-01,1,5,2017,2
2017-05-01,1,5,2017,2
2017-05-02,2,5,2017,2
2017-05-03,3,5,2017,2
2017-05-03,3,5,2017,2
2017-05-04,4,5,2017,2
2017-05-05,5,5,2017,2
2017-05-05,5,5,2017,2
2017-05-06,6,5,2017,2
2017-05-07,7,5,2017,2
2017-05-08,8,5,2017,2
2017-05-08,8,5,2017,2
2017-05-08,8,5,2017,2
2017-05-09,9,5,2017,2
2017-05-11,11,5,2017,2
2017-05-11,11,5,2017,2
2017-05-13,13,5,2017,2
2017-05-13,13,5,2017,2
2017-05-13,13,5,2017,2
2017-05-14,14,5,2017,2
2017-05-14,14,5,2017,2
2017-05-15,15,5,2017,2
2017-05-15,15,5,2017,2
2017-05-15,15,5,2017,2
2017-05-16,16,5,2017,2
2017-05-16,16,5,2017,2
2017-05-18,18,5,2017,2
2017-05-19,19,5,2017,2
2017-05-20,20,5,2017,2
2017-05-20,20,5,2017,2
2017-05-20,20,5,2017,2
2017-05-20,20,5,2017,2
2017-05-21,21,5,2017,2
2017-05-21,21,5,2017,2
2017-05-22,22,5,2017,2
2017-05-23,23,5,2017,2
2017-05-23,23,5,2017,2
2017-05-23,23,5,2017,2
2017-05-24,24,5,2017,2
2017-05-25,25,5,2017,2
2017-05-26,26,5,2017,2
2017-05-26,26,5,2017,2
2017-05-26,26,5,2017,2
2017-05-27,27,5,2017,2
2017-05-27,27,5,2017,2
2017-05-28,28,5,2017,2
2017-05-28,28,5,2017,2
2017-05-28,28,5,2017,2
2017-05-29,29,5,2017,2
2017-05-30,30,5,2017,2
2017-05-30,30,5,2017,2
2017-05-30,30,5,2017,2
2017-05-31,31,5,2017,2
2017-05-31,31,5,2017,2
2017-05-31,31,5,2017,2
2017-06-02,2,6,2017,2
2017-06-02,2,6,2017,2
2017-06-03,3,6,2017,2
2017-06-03,3,6,2017,2
2017-06-05,5,6,2017,2
2017-06-05,5,6,2017,2
2017-06-05,5,6,2017,2
2017-06-07,7,6,2017,2
2017-06-07,7,6,2017,2
2017-06-07,7,6,2017,2
2017-06-09,9,6,2017,2
2017-06-10,10,6,2017,2
2017-06-10,10,6,2017,2
2017-06-11,11,6,2017,2
2017-06-11,11,6,2017,2
2017-06-11,11,6,2017,2
2017-06-12,12,6,2017,2
2017-06-12,12,6,2017,2
2017-06-13,13,6,2017,2
2017-06-13,13,6,2017,2
2017-06-14,14,6,2017,2
2017-06-14,14,6,2017,2
2017-06-14,14,6,2017,2
2017-06-15,15,6,2017,2
2017-06-15,15,6,2017,2
2017-06-16,16,6,2017,2
2017-06-16,16,6,2017,2
2017-06-16,16,6,2017,2
2017-06-16,16,6,2017,2
2017-06-16,16,6,2017,2
2017-06-17,17,6,2017,2
2017-06-17,17,6,2017,2
2017-06-17,17,6,2017,2
2017-06-17,17,6,2017,2
2017-06-18,18,6,2017,2
2017-06-18,18,6,2017,2
2017-06-18,18,6,2017,2
2017-06-19,19,6,2017,2
2017-06-19,19,6,2017,2
2017-06-19,19,6,2017,2
2017-06-20,20,6,2017,2
2017-06-20,20,6,2017,2
2017-06-20,20,6,2017,2
2017-06-21,21,6,2017,2
2017-06-21,21,6,2017,2
2017-06-21,21,6,2017,2
2017-06-22,22,6,2017,2
2017-06-22,22,6,2017,2
2017-06-23,23,6,2017,2
2017-06-24,24,6,2017,2
2017-06-24,24,6,2017,2
2017-06-25,25,6,2017,2
2017-06-25,25,6,2017,2
2017-06-26,26,6,2017,2
2017-06-26,26,6,2017,2
2017-06-26,26,6,2017,2
2017-06-26,26,6,2017,2
2017-06-26,26,6,2017,2
2017-06-26,26,6,2017,2
2017-06-27,27,6,2017,2
2017-06-27,27,6,2017,2
2017-06-30,30,6,2017,2
2017-06-30,30,6,2017,2
2017-07-02,2,7,2017,3
2017-07-02,2,7,2017,3
2017-07-02,2,7,2017,3
2017-07-04,4,7,2017,3
2017-07-06,6,7,2017,3
2017-07-07,7,7,2017,3
2017-07-09,9,7,2017,3
2017-07-09,9,7,2017,3
2017-07-11,11,7,2017,3
2017-07-11,11,7,2017,3
2017-07-11,11,7,2017,3
2017-07-12,12,7,2017,3
2017-07-12,12,7,2017,3
2017-07-12,12,7,2017,3
2017-07-13,13,7,2017,3
2017-07-14,14,7,2017,3
2017-07-14,14,7,2017,3
2017-07-14,14,7,2017,3
2017-07-15,15,7,2017,3
2017-07-15,15,7,2017,3
2017-07-16,16,7,2017,3
2017-07-16,16,7,2017,3
2017-07-16,16,7,2017,3
2017-07-18,18,7,2017,3
2017-07-18,18,7,2017,3
2017-07-18,18,7,2017,3
2017-07-19,19,7,2017,3
2017-07-19,19,7,2017,3
2017-07-19,19,7,2017,3
2017-07-19,19,7,2017,3
2017-07-20,20,7,2017,3
2017-07-22,22,7,2017,3
2017-07-22,22,7,2017,3
2017-07-23,23,7,2017,3
2017-07-23,23,7,2017,3
2017-07-23,23,7,2017,3
2017-07-23,23,7,2017,3
2017-07-23,23,7,2017,3
2017-07-23,23,7,2017,3
2017-07-26,26,7,2017,3
2017-07-26,26,7,2017,3
2017-07-27,27,7,2017,3
2017-07-29,29,7,2017,3
2017-07-29,29,7,2017,3
2017-07-30,30,7,2017,3
2017-07-30,30,7,2017,3
2017-07-30,30,7,2017,3
2017-07-30,30,7,2017,3
2017-07-30,30,7,2017,3
2017-07-30,30,7,2017,3
2017-07-31,31,7,2017,3
2017-07-31,31,7,2017,3
2017-08-02,2,8,2017,3
2017-08-04,4,8,2017,3
2017-08-04,4,8,2017,3
2017-08-06,6,8,2017,3
2017-08-06,6,8,2017,3
2017-08-07,7,8,2017,3
2017-08-07,7,8,2017,3
2017-08-07,7,8,2017,3
2017-08-08,8,8,2017,3
2017-08-08,8,8,2017,3
2017-08-09,9,8,2017,3
2017-08-09,9,8,2017,3
2017-08-10,10,8,2017,3
2017-08-10,10,8,2017,3
2017-08-10,10,8,2017,3
2017-08-11,11,8,2017,3
2017-08-12,12,8,2017,3
2017-08-12,12,8,2017,3
2017-08-12,12,8,2017,3
2017-08-13,13,8,2017,3
2017-08-14,14,8,2017,3
2017-08-15,15,8,2017,3
2017-08-15,15,8,2017,3
2017-08-15,15,8,2017,3
2017-08-16,16,8,2017,3
2017-08-16,16,8,2017,3
2017-08-17,17,8,2017,3
2017-08-17,17,8,2017,3
2017-08-17,17,8,2017,3
2017-08-17,17,8,2017,3
2017-08-17,17,8,2017,3
2017-08-17,17,8,2017,3
2017-08-17,17,8,2017,3
2017-08-18,18,8,2017,3
2017-08-18,18,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-19,19,8,2017,3
2017-08-20,20,8,2017,3
2017-08-20,20,8,2017,3
2017-08-21,21,8,2017,3
2017-08-21,21,8,2017,3
2017-08-21,21,8,2017,3
2017-08-22,22,8,2017,3
2017-08-22,22,8,2017,3
2017-08-23,23,8,2017,3
2017-08-24,24,8,2017,3
2017-08-24,24,8,2017,3
2017-08-25,25,8,2017,3
2017-08-25,25,8,2017,3
2017-08-25,25,8,2017,3
2017-08-26,26,8,2017,3
2017-08-27,27,8,2017,3
2017-08-27,27,8,2017,3
2017-08-28,28,8,2017,3
2017-08-28,28,8,2017,3
2017-08-28,28,8,2017,3
2017-08-29,29,8,2017,3
2017-08-29,29,8,2017,3
2017-08-31,31,8,2017,3
2017-09-01,1,9,2017,3
2017-09-01,1,9,2017,3
2017-09-02,2,9,2017,3
2017-09-02,2,9,2017,3
2017-09-03,3,9,2017,3
2017-09-03,3,9,2017,3
2017-09-04,4,9,2017,3
2017-09-04,4,9,2017,3
2017-09-05,5,9,2017,3
2017-09-06,6,9,2017,3
2017-09-06,6,9,2017,3
2017-09-07,7,9,2017,3
2017-09-08,8,9,2017,3
2017-09-08,8,9,2017,3
2017-09-08,8,9,2017,3
2017-09-10,10,9,2017,3
2017-09-10,10,9,2017,3
2017-09-11,11,9,2017,3
2017-09-12,12,9,2017,3
2017-09-13,13,9,2017,3
2017-09-13,13,9,2017,3
2017-09-14,14,9,2017,3
2017-09-14,14,9,2017,3
2017-09-15,15,9,2017,3
2017-09-15,15,9,2017,3
2017-09-17,17,9,2017,3
2017-09-18,18,9,2017,3
2017-09-18,18,9,2017,3
2017-09-19,19,9,2017,3
2017-09-19,19,9,2017,3
2017-09-19,19,9,2017,3
2017-09-19,19,9,2017,3
2017-09-20,20,9,2017,3
2017-09-20,20,9,2017,3
2017-09-21,21,9,2017,3
2017-09-21,21,9,2017,3
2017-09-21,21,9,2017,3
2017-09-22,22,9,2017,3
2017-09-23,23,9,2017,3
2017-09-24,24,9,2017,3
2017-09-24,24,9,2017,3
2017-09-25,25,9,2017,3
2017-09-25,25,9,2017,3
2017-09-25,25,9,2017,3
2017-09-25,25,9,2017,3
2017-09-27,27,9,2017,3
2017-09-28,28-09,9,2017,3
2017-09-29,29,9,2017,3
2017-09-29,29,9,2017,3
2017-09-30,30,9,2017,3
2017-09-30,30,9,2017,3
2017-09-30,30,9,2017,3
2017-09-30,30,9,2017,3
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-01,1,10,2017,4
2017-10-02,2,10,2017,4
2017-10-03,3,10,2017,4
2017-10-04,4,10,2017,4
2017-10-04,4,10,2017,4
2017-10-04,4,10,2017,4
2017-10-05,5,10,2017,4
2017-10-05,5,10,2017,4
2017-10-07,7,10,2017,4
2017-10-08,08,10,2017,4
2017-10-08,08,10,2017,4
2017-10-09,09,10,2017,4
2017-10-10,10,10,2017,4
2017-10-12,12,10,2017,4
2017-10-12,12,10,2017,4
2017-10-12,12,10,2017,4
2017-10-13,13,10,2017,4
2017-10-13,13,10,2017,4
2017-10-13,13,10,2017,4
2017-10-14,14,10,2017,4
2017-10-14,14,10,2017,4
2017-10-14,14,10,2017,4
2017-10-14,14,10,2017,4
2017-10-15,15,10,2017,4
2017-10-15,15,10,2017,4
2017-10-15,15,10,2017,4
2017-10-16,16,10,2017,4
2017-10-17,17,10,2017,4
2017-10-17,17,10,2017,4
2017-10-17,17,10,2017,4
2017-10-19,19,10,2017,4
2017-10-19,19,10,2017,4
2017-10-19,19,10,2017,4
2017-10-21,21,10,2017,4
2017-10-22,22,10,2017,4
2017-10-23,23,10,2017,4
2017-10-23,23,10,2017,4
2017-10-23,23,10,2017,4
2017-10-24,24,10,2017,4
2017-10-25,25,10,2017,4
2017-10-25,25,10,2017,4
2017-10-26,26,10,2017,4
2017-10-26,26,10,2017,4
2017-10-26,26,10,2017,4
2017-10-26,26,10,2017,4
2017-10-26,26,10,2017,4
2017-10-26,26,10,2017,4
2017-10-27,27,10,2017,4
2017-10-27,27,10,2017,4
2017-10-27,27,10,2017,4
2017-10-28,28,10,2017,4
2017-10-28,28,10,2017,4
2017-10-28,28,10,2017,4
2017-10-28,28,10,2017,4
2017-10-30,30,10,2017,4
2017-10-30,30,10,2017,4
2017-10-31,31,10,2017,4
2017-10-31,31,10,2017,4
2017-11-01,1,11,2017,4
2017-11-02,2,11,2017,4
2017-11-03,3,11,2017,4
2017-11-04,4,11,2017,4
2017-11-04,4,11,2017,4
2017-11-04,4,11,2017,4
2017-11-04,4,11,2017,4
2017-11-05,5,11,2017,4
2017-11-05,5,11,2017,4
2017-11-05,5,11,2017,4
2017-11-06,6,11,2017,4
2017-11-06,6,11,2017,4
2017-11-07,7,11,2017,4
2017-11-07,7,11,2017,4
2017-11-08,8,11,2017,4
2017-11-09,9,11,2017,4
2017-11-09,9,11,2017,4
2017-11-09,9,11,2017,4
2017-11-10,10,11,2017,4
2017-11-10,10,11,2017,4
2017-11-11,11,11,2017,4
2017-11-11,11,11,2017,4
2017-11-12,12,11,2017,4
2017-11-13,13,11,2017,4
2017-11-13,13,11,2017,4
2017-11-16,16,11,2017,4
2017-11-16,16,11,2017,4
2017-11-17,17,11,2017,4
2017-11-17,17,11,2017,4
2017-11-17,17,11,2017,4
2017-11-18,18,11,2017,4
2017-11-18,18,11,2017,4
2017-11-18,18,11,2017,4
2017-11-19,19,11,2017,4
2017-11-19,19,11,2017,4
2017-11-19,19,11,2017,4
2017-11-20,20,11,2017,4
2017-11-21,21,11,2017,4
2017-11-22,22,11,2017,4
2017-11-23,23,11,2017,4
2017-11-23,23,11,2017,4
2017-11-23,23,11,2017,4
2017-11-24,24,11,2017,4
2017-11-24,24,11,2017,4
2017-11-25,25,11,2017,4
2017-11-25,25,11,2017,4
2017-11-26,26,11,2017,4
2017-11-26,26,11,2017,4
2017-11-26,26,11,2017,4
2017-11-27,27,11,2017,4
2017-11-27,27,11,2017,4
2017-11-27,27,11,2017,4
2017-11-28,28,11,2017,4
2017-11-29,29,11,2017,4
2017-11-30,30,11,2017,4
2017-12-01,1,12,2017,4
2017-12-01,1,12,2017,4
2017-12-01,1,12,2017,4
2017-12-01,1,12,2017,4
2017-12-02,2,12,2017,4
2017-12-03,3,12,2017,4
2017-12-04,4,12,2017,4
2017-12-04,4,12,2017,4
2017-12-04,4,12,2017,4
2017-12-04,4,12,2017,4
2017-12-07,7,12,2017,4
2017-12-07,7,12,2017,4
2017-12-08,8,12,2017,4
2017-12-08,8,12,2017,4
2017-12-09,9,12,2017,4
2017-12-10,10,12,2017,4
2017-12-10,10,12,2017,4
2017-12-11,11,12,2017,4
2017-12-11,11,12,2017,4
2017-12-14,14,12,2017,4
2017-12-14,14,12,2017,4
2017-12-14,14,12,2017,4
2017-12-15,15,12,2017,4
2017-12-15,15,12,2017,4
2017-12-16,16,12,2017,4
2017-12-16,16,12,2017,4
2017-12-16,16,12,2017,4
2017-12-16,16,12,2017,4
2017-12-17,17,12,2017,4
2017-12-20,20,12,2017,4
2017-12-22,22,12,2017,4
2017-12-22,22,12,2017,4
2017-12-22,22,12,2017,4
2017-12-24,24,12,2017,4
2017-12-24,24,12,2017,4
2017-12-25,25,12,2017,4
2017-12-25,25,12,2017,4
2017-12-25,25,12,2017,4
2017-12-25,25,12,2017,4
2017-12-26,26,12,2017,4
2017-12-27,27,12,2017,4
2017-12-27,27,12,2017,4
2017-12-27,27,12,2017,4
2017-12-28,28,12,2017,4
2017-12-30,30,12,2017,4
2017-12-31,31,12,2017,4
2017-12-31,31,12,2017,4
2018-01-01,1,1,2018,1
2018-01-01,1,1,2018,1
2018-01-01,1,1,2018,1
2018-01-02,2,1,2018,1
2018-01-02,2,1,2018,1
2018-01-04,4,1,2018,1
2018-01-04,4,1,2018,1
2018-01-05,5,1,2018,1
2018-01-06,6,1,2018,1
2018-01-06,6,1,2018,1
2018-01-07,7,1,2018,1
2018-01-07,7,1,2018,1
2018-01-09,9,1,2018,1
2018-01-09,9,1,2018,1
2018-01-10,10,1,2018,1
2018-01-11,11,1,2018,1
2018-01-12,12,1,2018,1
2018-01-12,12,1,2018,1
2018-01-12,12,1,2018,1
2018-01-13,13,1,2018,1
2018-01-13,13,1,2018,1
2018-01-14,14,1,2018,1
2018-01-14,14,1,2018,1
2018-01-15,15,1,2018,1
2018-01-15,15,1,2018,1
2018-01-15,15,1,2018,1
2018-01-15,15,1,2018,1
2018-01-16,16,1,2018,1
2018-01-16,16,1,2018,1
2018-01-17,17,1,2018,1
2018-01-19,19,1,2018,1
2018-01-19,19,1,2018,1
2018-01-19,19,1,2018,1
2018-01-20,20,1,2018,1
2018-01-21,21,1,2018,1
2018-01-21,21,1,2018,1
2018-01-22,22,1,2018,1
2018-01-22,22,1,2018,1
2018-01-23,23,1,2018,1
2018-01-24,24,1,2018,1
2018-01-25,25,1,2018,1
2018-01-25,25,1,2018,1
2018-01-26,26,1,2018,1
2018-01-27,27,1,2018,1
2018-01-27,27,1,2018,1
2018-01-28,28,1,2018,1
2018-01-28,28,1,2018,1
2018-01-29,29,1,2018,1
2018-01-29,29,1,2018,1
2018-01-29,29,1,2018,1
2018-01-30,30,1,2018,1
2018-01-30,30,1,2018,1
2018-02-01,1,2,2018,1
2018-02-01,1,2,2018,1
2018-02-02,2,2,2018,1
2018-02-02,2,2,2018,1
2018-02-05,5,2,2018,1
2018-02-05,5,2,2018,1
2018-02-06,6,2,2018,1
2018-02-07,7,2,2018,1
2018-02-08,8,2,2018,1
2018-02-08,8,2,2018,1
2018-02-09,9,2,2018,1
2018-02-09,9,2,2018,1
2018-02-09,9,2,2018,1
2018-02-11,11,2,2018,1
2018-02-12,12,2,2018,1
2018-02-13,13,2,2018,1
2018-02-13,13,2,2018,1
2018-02-14,14,2,2018,1
2018-02-14,14,2,2018,1
2018-02-15,15,2,2018,1
2018-02-15,15,2,2018,1
2018-02-15,15,2,2018,1
2018-02-16,16,2,2018,1
2018-02-16,16,2,2018,1
2018-02-17,17,2,2018,1
2018-02-18,18,2,2018,1
2018-02-19,19,2,2018,1
2018-02-21,21,2,2018,1
2018-02-23,23,2,2018,1
2018-02-25,25,2,2018,1
2018-02-25,25,2,2018,1
2018-02-26,26,2,2018,1
2018-02-26,26,2,2018,1
2018-02-26,26,2,2018,1
2018-02-27,27,2,2018,1
2018-03-01,1,3,2018,1
2018-03-01,1,3,2018,1
2018-03-01,1,3,2018,1
2018-03-03,3,3,2018,1
2018-03-03,3,3,2018,1
2018-03-03,3,3,2018,1
2018-03-04,4,3,2018,1
2018-03-04,4,3,2018,1
2018-03-04,4,3,2018,1
2018-03-04,4,3,2018,1
2018-03-05,5,3,2018,1
2018-03-05,5,3,2018,1
2018-03-06,6,3,2018,1
2018-03-07,7,3,2018,1
2018-03-07,7,3,2018,1
2018-03-07,7,3,2018,1
2018-03-07,7,3,2018,1
2018-03-08,8,3,2018,1
2018-03-08,8,3,2018,1
2018-03-10,10,3,2018,1
2018-03-11,11,3,2018,1
2018-03-11,11,3,2018,1
2018-03-11,11,3,2018,1
2018-03-14,14,3,2018,1
2018-03-14,14,3,2018,1
2018-03-14,14,3,2018,1
2018-03-15,15,3,2018,1
2018-03-15,15,3,2018,1
2018-03-15,15,3,2018,1
2018-03-15,15,3,2018,1
2018-03-15,15,3,2018,1
2018-03-16,16,3,2018,1
2018-03-16,16,3,2018,1
2018-03-16,16,3,2018,1
2018-03-17,17,3,2018,1
2018-03-17,17,3,2018,1
2018-03-18,18,3,2018,1
2018-03-18,18,3,2018,1
2018-03-18,18,3,2018,1
2018-03-19,19,3,2018,1
2018-03-19,19,3,2018,1
2018-03-20,20,3,2018,1
2018-03-20,20,3,2018,1
2018-03-20,20,3,2018,1
2018-03-20,20,3,2018,1
2018-03-20,20,3,2018,1
2018-03-20,20,3,2018,1
2018-03-20,20,3,2018,1
2018-03-21,21,3,2018,1
2018-03-21,21,3,2018,1
2018-03-22,22,3,2018,1
2018-03-22,22,3,2018,1
2018-03-23,23,3,2018,1
2018-03-24,24,3,2018,1
2018-03-25,25,3,2018,1
2018-03-26,26,3,2018,1
2018-03-26,26,3,2018,1
2018-03-27,27,3,2018,1
2018-03-27,27,3,2018,1
2018-03-28,28,3,2018,1
2018-03-28,28,3,2018,1
2018-03-29,29,3,2018,1
2018-03-30,30,3,2018,1
2018-03-30,30,3,2018,1
2018-03-30,30,3,2018,1
2018-03-31,31,3,2018,1
2018-03-31,31,3,2018,1
2018-03-31,31,3,2018,1
2018-04-01,1,4,2018,2
2018-04-01,1,4,2018,2
2018-04-01,1,4,2018,2
2018-04-01,1,4,2018,2
2018-04-02,2,4,2018,2
2018-04-02,2,4,2018,2
2018-04-02,2,4,2018,2
2018-04-02,2,4,2018,2
2018-04-03,3,4,2018,2
2018-04-03,3,4,2018,2
2018-04-03,3,4,2018,2
2018-04-03,3,4,2018,2
2018-04-04,4,4,2018,2
2018-04-04,4,4,2018,2
2018-04-04,4,4,2018,2
2018-04-05,5,4,2018,2
2018-04-05,5,4,2018,2
2018-04-06,6,4,2018,2
2018-04-06,6,4,2018,2
2018-04-06,6,4,2018,2
2018-04-06,6,4,2018,2
2018-04-06,6,4,2018,2
2018-04-06,6,4,2018,2
2018-04-06,6,4,2018,2
2018-04-07,7,4,2018,2
2018-04-08,8,4,2018,2
2018-04-08,8,4,2018,2
2018-04-08,8,4,2018,2
2018-04-08,8,4,2018,2
2018-04-08,8,4,2018,2
2018-04-09,9,4,2018,2
2018-04-09,9,4,2018,2
2018-04-09,9,4,2018,2
2018-04-09,9,4,2018,2
2018-04-10,10,4,2018,2
2018-04-10,10,4,2018,2
2018-04-10,10,4,2018,2
2018-04-11,11,4,2018,2
2018-04-11,11,4,2018,2
2018-04-11,11,4,2018,2
2018-04-11,11,4,2018,2
2018-04-11,11,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-12,12,4,2018,2
2018-04-13,13,4,2018,2
2018-04-13,13,4,2018,2
2018-04-13,13,4,2018,2
2018-04-13,13,4,2018,2
2018-04-14,14,4,2018,2
2018-04-14,14,4,2018,2
2018-04-14,14,4,2018,2
2018-04-15,15,4,2018,2
2018-04-15,15,4,2018,2
2018-04-15,15,4,2018,2
2018-04-16,16,4,2018,2
2018-04-16,16,4,2018,2
2018-04-16,16,4,2018,2
2018-04-16,16,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-17,17,4,2018,2
2018-04-18,18,4,2018,2
2018-04-18,18,4,2018,2
2018-04-18,18,4,2018,2
2018-04-18,18,4,2018,2
2018-04-19,19,4,2018,2
2018-04-19,19,4,2018,2
2018-04-20,20,4,2018,2
2018-04-20,20,4,2018,2
2018-04-20,20,4,2018,2
2018-04-20,20,4,2018,2
2018-04-20,20,4,2018,2
2018-04-21,21,4,2018,2
2018-04-21,21,4,2018,2
2018-04-21,21,4,2018,2
2018-04-21,21,4,2018,2
2018-04-21,21,4,2018,2
2018-04-22,22,4,2018,2
2018-04-22,22,4,2018,2
2018-04-22,22,4,2018,2
2018-04-22,22,4,2018,2
2018-04-23,23,4,2018,2
2018-04-23,23,4,2018,2
2018-04-23,23,4,2018,2
2018-04-23,23,4,2018,2
2018-04-23,23,4,2018,2
2018-04-23,23,4,2018,2
2018-04-24,24,4,2018,2
2018-04-24,24,4,2018,2
2018-04-25,25,4,2018,2
2018-04-25,25,4,2018,2
2018-04-25,25,4,2018,2
2018-04-26,26,4,2018,2
2018-04-26,26,4,2018,2
2018-04-26,26,4,2018,2
2018-04-26,26,4,2018,2
2018-04-26,26,4,2018,2
2018-04-27,27,4,2018,2
2018-04-27,27,4,2018,2
2018-04-27,27,4,2018,2
2018-04-27,27,4,2018,2
2018-04-27,27,4,2018,2
2018-04-28,28,4,2018,2
2018-04-28,28,4,2018,2
2018-04-28,28,4,2018,2
2018-04-28,28,4,2018,2
2018-04-29,29,4,2018,2
2018-04-29,29,4,2018,2
2018-04-29,29,4,2018,2
2018-04-29,29,4,2018,2
2018-04-30,30,4,2018,2
2018-04-30,30,4,2018,2
2018-06-17,17,6,2018,2
2018-07-01,1,7,2018,3
2018-07-10,10,7,2018,3
2018-07-11,11,7,2018,3
2018-07-12,12,7,2018,3
2018-08-23,23,8,2018,3
2018-08-25,25,8,2018,3
2018-09-06,6,9,2018,3
2018-10-21,21,10,2018,4
2018-11-18,18,11,2018,4
2018-11-28,28,11,2018,4
2018-12-28,28,12,2018,4
